"dbms","table_catalog","table_schema","table_name","column_name","ordinal_position","data_type","character_maximum_length","constraint_type","table_schema-2","table_name-2","column_name-2"
"postgresql","5310_project","public","carrentalcompanies","name",2,"character varying",255,NULL,NULL,NULL,NULL
"postgresql","5310_project","public","flightbookings","childrencount",6,"integer",NULL,NULL,NULL,NULL,NULL
"postgresql","5310_project","public","flightpricetrends","price",4,"numeric",NULL,NULL,NULL,NULL,NULL
"postgresql","5310_project","public","carrentalcompanies","contactinfo",3,"character varying",255,NULL,NULL,NULL,NULL
"postgresql","5310_project","public","hotelbookings","bookingmade",8,"boolean",NULL,NULL,NULL,NULL,NULL
"postgresql","5310_project","public","carrentalpricetrends","price",4,"numeric",NULL,NULL,NULL,NULL,NULL
"postgresql","5310_project","public","hotels","ishostel",9,"boolean",NULL,NULL,NULL,NULL,NULL
"postgresql","5310_project","public","flights","duration",7,"interval",NULL,NULL,NULL,NULL,NULL
"postgresql","5310_project","public","hotelpricetrends","date",2,"date",NULL,NULL,NULL,NULL,NULL
"postgresql","5310_project","public","flights","arrivaltime",6,"timestamp without time zone",NULL,NULL,NULL,NULL,NULL
"postgresql","5310_project","public","traveltimes","besttimetotravel",3,"character varying",255,NULL,NULL,NULL,NULL
"postgresql","5310_project","public","paymentinformation","billingaddress",4,"character varying",255,NULL,NULL,NULL,NULL
"postgresql","5310_project","public","customers","address",6,"character varying",255,NULL,NULL,NULL,NULL
"postgresql","5310_project","public","customers","loyaltymember",7,"boolean",NULL,NULL,NULL,NULL,NULL
"postgresql","5310_project","public","flightpricetrends","date",2,"date",NULL,NULL,NULL,NULL,NULL
"postgresql","5310_project","public","customers","numberofvisits",2,"integer",NULL,NULL,NULL,NULL,NULL
"postgresql","5310_project","public","carrentalpricetrends","date",2,"date",NULL,NULL,NULL,NULL,NULL
"postgresql","5310_project","public","airlines","name",2,"character varying",255,NULL,NULL,NULL,NULL
